listing_id,high,medium,low
7142618,0.0765,0.3325,0.591
7210040,0.223,0.4375,0.3395
7103890,0.043,0.1065,0.8505
7143442,0.082,0.3745,0.5435
6860601,0.0275,0.267,0.7055
6840081,0.0065,0.034,0.9595
6922337,0.129,0.3455,0.5255
6913616,0.206,0.515,0.279
6937820,0.0605,0.238,0.7015
6893933,0.0395,0.21183333333333332,0.7486666666666667
6832604,0.01,0.026,0.964
6915282,0.176,0.4335,0.3905
7127565,0.02,0.1145,0.8655
6827899,0.0305,0.0965,0.873
6934855,0.008,0.048,0.944
6861826,0.012,0.2095,0.7785
6871643,0.0285,0.351,0.6205
6842542,0.0075,0.063,0.9295
6934145,0.0165,0.1065,0.877
6829365,0.147625,0.422375,0.43
7167858,0.0505,0.1135,0.836
6859483,0.0465,0.3125,0.641
6861377,0.0465,0.218,0.7355
6848960,0.2015,0.3395,0.459
6918850,0.0065,0.0375,0.956
6916867,0.101,0.35,0.549
6895840,0.0115,0.066,0.9225
6813539,0.462,0.2825,0.2555
7116900,0.0735,0.335,0.5915
6890328,0.298,0.32914166666666667,0.37285833333333335
6879406,0.099,0.25,0.651
6824924,0.133,0.3185,0.5485
6911302,0.0735,0.12925,0.79725
6918742,0.094,0.778,0.128
6910586,0.007,0.1605,0.8325
6821750,0.0305,0.179,0.7905
6860647,0.0295,0.1475,0.823
6932873,0.051,0.4105,0.5385
6846053,0.0175,0.1035,0.879
6940365,0.116,0.1715,0.7125
6931867,0.014,0.148,0.838
6876383,0.1685,0.3055,0.526
6910980,0.2135,0.4715,0.315
6880877,0.293,0.286,0.421
6839552,0.0855,0.4155,0.499
6838051,0.18541666666666667,0.4390833333333334,0.3755
6928201,0.584,0.24,0.176
6945608,0.075,0.7075,0.2175
6816147,0.0595,0.1925,0.748
6868129,0.0395,0.4427,0.5177999999999999
6849448,0.029,0.142,0.829
7113677,0.6595,0.2655,0.075
6930856,0.048,0.1305,0.8215
6889594,0.0325,0.484,0.4835
6842682,0.018,0.155,0.827
6880366,0.1335,0.441,0.4255
6835063,0.002,0.013,0.985
6820479,0.344,0.255,0.401
6882057,0.033,0.223,0.744
6834440,0.0655,0.4025,0.532
6880846,0.0005,0.013,0.9865
6847248,0.0005,0.0285,0.971
6868368,0.0045,0.0615,0.934
6943505,0.009,0.0395,0.9515
7174304,0.028,0.1855,0.7865
6880747,0.0195,0.169,0.8115
6933565,0.055,0.291,0.654
6888511,0.0065,0.019,0.9745
6942704,0.085,0.38175,0.53325
6840304,0.13625,0.3105833333333334,0.5531666666666667
6856860,0.0155,0.096,0.8885
6884921,0.003,0.019,0.978
6937417,0.0115,0.1485,0.84
6831129,0.001,0.0235,0.9755
6936660,0.1035,0.595,0.3015
6940667,0.005,0.0825,0.9125
7201307,0.003,0.011,0.986
6825434,0.0305,0.196,0.7735
6848114,0.0495,0.11924166666666666,0.8312583333333334
6947758,0.5695,0.2765,0.154
6897002,0.035166666666666666,0.2855,0.6793333333333333
6926661,0.003,0.1015,0.8955
6867411,0.1025,0.24825,0.64925
6910154,0.012,0.173,0.815
7157900,0.0275,0.272,0.7005
6922324,0.04,0.351,0.609
6863068,0.067,0.2425,0.6905
6912109,0.021,0.2675,0.7115
6918609,0.021,0.198,0.781
6889300,0.096,0.339,0.565
6837794,0.060375,0.372125,0.5675
6943098,0.3455,0.2635,0.391
6927601,0.1135,0.3215,0.565
6897826,0.0325,0.1995,0.768
6882892,0.0085,0.051,0.9405
6873384,0.273,0.3225,0.4045
6934693,0.025666666666666667,0.2063333333333333,0.768
7224450,0.036,0.1875,0.7765
6898157,0.008,0.1,0.892
6837355,0.0,0.036,0.964
6830595,0.109,0.526875,0.364125
6943561,0.1285,0.519,0.3525
6844380,0.204,0.5125,0.2835
6814286,0.083,0.18083333333333335,0.7361666666666666
6898520,0.128,0.6125,0.2595
6940979,0.49975,0.21558333333333335,0.2846666666666666
6851090,0.2829166666666667,0.4275,0.2895833333333333
7107169,0.052,0.336,0.612
6830287,0.33954166666666663,0.1231,0.5373583333333334
6933575,0.0665,0.6875,0.246
6938972,0.024,0.1605,0.8155
6888315,0.0005,0.0355,0.964
6855106,0.0085,0.15,0.8415
6838237,0.071,0.7073333333333334,0.22166666666666665
6901024,0.0985,0.3815,0.52
6846627,0.007,0.1495,0.8435
7219857,0.0085,0.056,0.9355
6852685,0.033,0.4205,0.5465
6831610,0.1975,0.4515,0.351
6943538,0.182,0.378,0.44
6911637,0.0085,0.0265,0.965
6854543,0.0215,0.1095,0.869
6940451,0.052,0.3335,0.6145
6819530,0.3075,0.35,0.3425
7093396,0.026,0.233,0.741
6840326,0.0185,0.175,0.8065
6834204,0.0195,0.0525,0.928
6902518,0.14520833333333333,0.30356666666666665,0.5512250000000001
6930253,0.0525,0.2415,0.706
6828293,0.0075,0.143,0.8495
7203744,0.39,0.197,0.413
6816478,0.10025,0.34725,0.5525
6868890,0.0105,0.1255,0.864
6879338,0.079,0.403,0.518
6898532,0.1175,0.187,0.6955
6899965,0.0205,0.20783333333333334,0.7716666666666667
7133875,0.006,0.0555,0.9385
6822218,0.0515,0.2895,0.659
6814018,0.35353154761904754,0.14585,0.5006184523809524
6896376,0.135,0.3995,0.4655
6918670,0.1605,0.499,0.3405
6867839,0.002,0.017,0.981
6823554,0.011,0.1045,0.8845
6934798,0.138,0.23607499999999998,0.625925
6820823,0.1465,0.456,0.3975
6880212,0.039,0.127,0.834
6934814,0.0165,0.116,0.8675
7254134,0.112,0.105,0.783
6938303,0.253,0.4265,0.3205
6813807,0.183,0.28,0.537
6878604,0.022,0.096,0.882
6876763,0.07,0.12683333333333333,0.8031666666666666
6844352,0.007,0.0905,0.9025
6915939,0.303,0.4155,0.2815
7109370,0.068,0.3405,0.5915
6855445,0.108,0.206,0.686
6818668,0.0275,0.335,0.6375
6836527,0.0,0.0125,0.9875
6831717,0.042,0.2735,0.6845
6937162,0.10166666666666667,0.4515,0.4468333333333333
6922876,0.014,0.084,0.902
7109482,0.0515,0.4345,0.514
6940972,0.11,0.345,0.545
6883790,0.162,0.5159750000000002,0.32202500000000006
6921643,0.014,0.147,0.839
6935700,0.0125,0.198,0.7895
6827025,0.035,0.208,0.757
6943096,0.07,0.1625,0.7675
7161468,0.0395,0.0895,0.871
6879610,0.0165,0.212125,0.771375
6935762,0.062,0.365,0.573
6925042,0.0345,0.127,0.8385
7121050,0.0595,0.2255,0.715
6821601,0.0955,0.253,0.6515
6926810,0.0115,0.088,0.9005
6946532,0.04,0.268,0.692
6875171,0.05916666666666667,0.37945833333333334,0.561375
7096285,0.16225,0.43775,0.4
6812321,0.0755,0.175,0.7495
6822697,0.0925,0.1745,0.733
6941294,0.01,0.25,0.74
6873564,0.002,0.0115,0.9865
6926791,0.0305,0.284,0.6855
7142444,0.5505,0.281,0.1685
6878128,0.038,0.5621666666666666,0.3998333333333333
6927428,0.1095,0.4385,0.452
6812674,0.0025,0.01,0.9875
6881774,0.217,0.3185,0.4645
7167797,0.0005,0.0525,0.947
6865238,0.147,0.584,0.269
6841710,0.202,0.265,0.533
6856334,0.009,0.081,0.91
6906462,0.0155,0.144,0.8405
6837438,0.1505,0.30095000000000005,0.5485500000000001
6908277,0.265,0.371,0.364
6841291,0.024,0.0795,0.8965
6915178,0.1395,0.5225,0.338
6893031,0.305,0.3835,0.3115
6894985,0.32911666666666667,0.4825,0.18838333333333332
6931134,0.084,0.349,0.567
6872264,0.569,0.2365,0.1945
6816953,0.20908571428571435,0.25535,0.5355642857142857
7163518,0.3725,0.419,0.2085
6893253,0.058,0.196625,0.745375
6943822,0.0565,0.3265,0.617
6946313,0.0515,0.1605,0.788
6839443,0.033,0.1545,0.8125
6911338,0.023,0.255,0.722
7223877,0.41825,0.3485,0.23325
6917884,0.0305,0.318,0.6515
6823126,0.0035,0.047,0.9495
6939488,0.29129999999999995,0.418,0.29070000000000007
7196924,0.056666666666666664,0.1698333333333333,0.7735
6905685,0.042,0.22,0.738
6894092,0.0115,0.0265,0.962
6812181,0.028666666666666663,0.265375,0.7059583333333334
6854610,0.0245,0.204,0.7715
6873754,0.17,0.3795,0.4505
6859181,0.949,0.031,0.02
6825402,0.0125,0.182,0.8055
6819526,0.041,0.161,0.798
6896065,0.006,0.0785,0.9155
6931793,0.1045,0.3075,0.588
6907360,0.017,0.23,0.753
6813182,0.031,0.1655,0.8035
6823959,0.0695,0.204,0.7265
6942189,0.1485,0.424,0.4275
6844384,0.0105,0.114,0.8755
6836888,0.36579166666666674,0.24470833333333333,0.3895
6917844,0.013,0.285,0.702
6937842,0.0585,0.459,0.4825
6926917,0.112,0.249,0.639
7160740,0.0395,0.16299999999999998,0.7975
6936310,0.07933333333333334,0.3615833333333333,0.5590833333333334
6849109,0.1595,0.415,0.4255
6831018,0.002,0.018,0.98
6909842,0.002,0.0515,0.9465
6861360,0.003,0.0255,0.9715
6883414,0.0525,0.256,0.6915
6876026,0.1775,0.167575,0.654925
7095390,0.003,0.005,0.992
6932265,0.513,0.274,0.213
6870949,0.034,0.3035,0.6625
6831335,0.0335,0.2445,0.722
6895698,0.095,0.2415,0.6635
6889889,0.1015,0.259,0.6395
6876679,0.0835,0.2203666666666667,0.6961333333333333
6947097,0.475,0.1345,0.3905
6874970,0.043,0.167,0.79
6831069,0.553,0.232,0.215
6833628,0.1325,0.193,0.6745
6819282,0.07,0.2885,0.6415
6825025,0.0205,0.241,0.7385
6856513,0.0175,0.179,0.8035
6928711,0.004,0.028,0.968
6832548,0.072,0.4145,0.5135
6881870,0.054,0.3345,0.6115
6866978,0.114,0.624,0.262
7163400,0.3725,0.419,0.2085
6917187,0.1215,0.7478333333333332,0.13066666666666668
6927475,0.03,0.3285,0.6415
6903243,0.03,0.238,0.732
6876188,0.022,0.057,0.921
6922219,0.0375,0.08,0.8825
7104085,0.0045,0.0,0.9955
6920897,0.0755,0.55,0.3745
6812177,0.1125,0.22883333333333333,0.6586666666666667
6941047,0.0875,0.606,0.3065
6827609,0.0065,0.0435,0.95
6934328,0.011,0.113,0.876
6937556,0.48,0.33030000000000004,0.18969999999999998
6879765,0.084,0.562,0.354
6942927,0.006,0.0905,0.9035
